station_number,station_id,stationName,distFromFristStation,metroLine,Opened,Layout,Latitude,Longitude
227,10,Naraina Vihar,14.3,Pink line,2018-03-14,Underground,28.6273375,77.1403175
228,11,Delhi Cantt,16.1,Pink line,2018-03-14,Elevated,28.5938331,77.13497891
229,12,Durgabai Deshmukh South Campus [Conn: Orange],19.7,Pink line,2018-03-14,Elevated,28.5894384,77.1690817
230,13,Sir Vishweshwaraiah Moti Bagh,21,Pink line,2018-08-06,Elevated,28.5785326,77.175741
231,14,Bhikaji Cama Place,22.6,Pink line,2018-08-06,Underground,28.56790025,77.18701648
232,15,Sarojini Nagar,23.8,Pink line,2018-08-06,Underground,28.5741575,77.1953703
233,16,Dilli Haat INA [Conn: Yellow],24.9,Pink line,2018-08-06,Underground,28.57440755,77.21024148
234,17,South Extension,26.1,Pink line,2018-08-06,Underground,28.6517178,77.2219388
235,18,Lajpat Nagar [Conn: Violet],27.7,Pink line,2018-08-06,Underground,28.57079,77.23653
236,19,Vinobapuri,29.1,Pink line,2018-12-31,Underground,28.5669763,77.2491906
237,20,Ashram,30.3,Pink line,2018-12-31,Underground,28.5724231,77.2585979
238,21,Sarai Kale Khan Hazrat Nizamuddin,32.2,Pink line,2018-12-31,Underground,28.5887494,77.2572494
239,22,Mayur Vihar Phase-1 [Conn: Blue],35.8,Pink line,2018-12-31,Elevated,28.603133,77.2925892
240,23,Mayur Vihar Pocket I,36.6,Pink line,2018-10-31,Elevated,28.6058619,77.2987023
241,24,Trilokpuri Sanjay Lake,37.9,Pink line,2018-10-31,Elevated,28.613453,77.3088549
242,25,Vinod Nagar East,38.7,Pink line,2018-10-31,Elevated,28.6200437,77.3054069
243,26,Mandawali - West Vinod Nagar,39.3,Pink line,2018-10-31,Elevated,28.6249712,77.3044906
244,27,IP Extension,40.3,Pink line,2018-10-31,Elevated,28.6288991,77.31019788
245,28,Anand Vihar [Conn: Blue],41.9,Pink line,2018-10-31,Elevated,28.6467533,77.3180037
246,29,Karkar Duma [Conn: Blue],42.9,Pink line,2018-10-31,Elevated,28.6491622,77.30620811
247,30,Karkarduma Court,44,Pink line,2018-10-31,Elevated,28.6536001,77.2957877
248,31,Krishna Nagar,44.7,Pink line,2018-10-31,Elevated,28.6578461,77.2901853
249,32,East Azad Nagar,45.7,Pink line,2018-10-31,Elevated,28.6646964,77.284881
250,33,Welcome [Conn: Red],46.8,Pink line,2018-10-31,Elevated,28.6718,77.27756
251,34,Jaffrabad,48,Pink line,2018-10-31,Elevated,28.6826822,77.2748055
252,35,Maujpur,49.1,Pink line,2018-10-31,Elevated,28.69197845,77.27962397
253,36,Gokulpuri,50.4,Pink line,2018-10-31,Elevated,28.7024752,77.2861253
254,37,Johri Enclave,51.7,Pink line,2018-10-31,Elevated,28.71288,77.2861253
255,38,Shiv Vihar,52.6,Pink line,2018-10-31,Elevated,28.61753755,77.03543017
256,1,Noida Sector 51 [Conn: Blue],0,Aqua line,2019-01-25,Elevated,28.5857,77.3753
257,2,Noida Sector 50,1.3,Aqua line,2019-01-25,Elevated,28.535517,77.391029
258,3,Noida Sector 76,2.3,Aqua line,2019-01-25,Elevated,28.568746,77.382685
259,4,Noida Sector 101,3.4,Aqua line,2019-01-25,Elevated,28.556402,77.384798
260,5,Noida Sector 81,4.3,Aqua line,2019-01-25,Elevated,28.6225753,77.3743146
261,6,NSEZ Noida,6.3,Aqua line,2019-01-25,Elevated,28.535517,77.391029
262,7,Noida Sector 83,7.4,Aqua line,2019-01-25,Elevated,28.524115,77.397244
263,8,Noida Sector 137,8.9,Aqua line,2019-01-25,Elevated,28.5090789,77.409015
264,9,Noida Sector 142,10.5,Aqua line,2019-01-25,Elevated,28.4758348,77.55447875
